,Question_id,total_attempts,correct_attempts,total_attempts_by_u1,correct_attempts_by_u1,total_attempts_by_u3,correct_attempts_by_u3,total_attempts_by_u4,correct_attempts_by_u4,accuracy_of_u1,accuracy_of_u3,accuracy_of_u4,overall_accuracy,individual_q_accuracy,,,,,,,,
107,11852,1,1,0,0,0,0,1,1,,,1,1,1,,,,,,,,
108,1186,1,1,1,1,0,0,0,0,1,,,1,1,,,,,,,,
109,11910,1,1,0,0,0,0,1,1,,,1,1,1,,,,,,,,
110,11927,1,1,0,0,0,0,1,1,,,1,1,1,,,,,,,,
111,11928,1,0,0,0,0,0,1,0,,,0,0,0,,,,,,,,
112,1193,1,1,1,1,0,0,0,0,1,,,1,1,,,,,,,,
114,11936,1,1,0,0,0,0,1,1,,,1,1,1,,,,,,,,
115,1195,1,0,0,0,0,0,1,0,,,0,0,0,,,,,,,,
116,11962,1,1,0,0,0,0,1,1,,,1,1,1,,,,,,,,
117,1198,1,1,1,1,0,0,0,0,1,,,1,1,,,,,,,,
118,1204,1,1,1,1,0,0,0,0,1,,,1,1,,,,,,,,
119,1218,1,1,0,0,0,0,1,1,,,1,1,1,,,,,,,,
120,123,1,1,1,1,0,0,0,0,1,,,1,1,,,,,,,,
121,1234,1,1,1,1,0,0,0,0,1,,,1,1,,,,,,,,
122,1241,1,0,1,0,0,0,0,0,0,,,0,0,,,,,,,,
123,1247,1,0,1,0,0,0,0,0,0,,,0,0,,,,,,,,
125,1261,1,1,0,0,0,0,1,1,,,1,1,1,,,,,,,,
126,1266,1,0,0,0,0,0,1,0,,,0,0,0,,,,,,,,
127,1273,1,1,1,1,0,0,0,0,1,,,1,1,,,,,,,,
128,1297,1,1,0,0,0,0,1,1,,,1,1,1,,,,,,,,
129,1298,1,1,1,1,0,0,0,0,1,,,1,1,,,,,,,,
130,131,1,1,1,1,0,0,0,0,1,,,1,1,,,,,,,,
133,1315,1,1,0,0,0,0,1,1,,,1,1,1,,,,,,,,
134,1316,1,1,0,0,0,0,1,1,,,1,1,1,,,,,,,,
135,1319,1,0,1,0,0,0,0,0,0,,,0,0,,,,,,,,
136,1329,1,1,1,1,0,0,0,0,1,,,1,1,,,,,,,,
137,1340,1,1,1,1,0,0,0,0,1,,,1,1,,,,,,,,
138,1346,1,1,1,1,0,0,0,0,1,,,1,1,,,,,,,,
139,135,1,1,0,0,0,0,1,1,,,1,1,1,,,,,,,,
141,1368,1,1,0,0,0,0,1,1,,,1,1,1,,,,,,,,
142,1382,1,1,1,1,0,0,0,0,1,,,1,1,,,,,,,,
143,1383,1,1,1,1,0,0,0,0,1,,,1,1,,,,,,,,
146,1395,1,1,1,1,0,0,0,0,1,,,1,1,,,,,,,,
147,1398,1,1,1,1,0,0,0,0,1,,,1,1,,,,,,,,
148,1416,1,1,1,1,0,0,0,0,1,,,1,1,,,,,,,,
149,1428,1,1,0,0,0,0,1,1,,,1,1,1,,,,,,,,
150,143,1,1,1,1,0,0,0,0,1,,,1,1,,,,,,,,
151,1455,1,1,1,1,0,0,0,0,1,,,1,1,,,,,,,,
153,1479,1,1,0,0,0,0,1,1,,,1,1,1,,,,,,,,
154,1482,1,1,0,0,0,0,1,1,,,1,1,1,,,,,,,,
157,1512,1,1,0,0,0,0,1,1,,,1,1,1,,,,,,,,
160,1527,1,1,0,0,0,0,1,1,,,1,1,1,,,,,,,,
161,154,1,1,1,1,0,0,0,0,1,,,1,1,,,,,,,,
163,1554,1,1,1,1,0,0,0,0,1,,,1,1,,,,,,,,
165,158,1,1,1,1,0,0,0,0,1,,,1,1,,,,,,,,
166,1581,1,1,0,0,0,0,1,1,,,1,1,1,,,,,,,,
168,160,1,0,1,0,0,0,0,0,0,,,0,0,,,,,,,,
169,1602,1,1,1,1,0,0,0,0,1,,,1,1,,,,,,,,
170,1605,1,1,1,1,0,0,0,0,1,,,1,1,,,,,,,,
171,1632,1,0,0,0,0,0,1,0,,,0,0,0,,,,,,,,
174,1674,1,1,0,0,0,0,1,1,,,1,1,1,,,,,,,,
175,1689,1,1,0,0,0,0,1,1,,,1,1,1,,,,,,,,
176,1692,1,0,0,0,1,0,0,0,,0,,0,0,,,,,,,,
177,16963,1,0,0,0,0,0,1,0,,,0,0,0,,,,,,,,
178,17053,1,1,0,0,0,0,1,1,,,1,1,1,,,,,,,,
179,17060,1,1,1,1,0,0,0,0,1,,,1,1,,,,,,,,
180,17074,1,1,1,1,0,0,0,0,1,,,1,1,,,,,,,,
182,17122,1,0,1,0,0,0,0,0,0,,,0,0,,,,,,,,
183,17139,1,1,0,0,0,0,1,1,,,1,1,1,,,,,,,,
184,17151,1,0,1,0,0,0,0,0,0,,,0,0,,,,,,,,
185,17158,1,1,1,1,0,0,0,0,1,,,1,1,,,,,,,,
186,17211,1,0,1,0,0,0,0,0,0,,,0,0,,,,,,,,
187,17213,1,0,1,0,0,0,0,0,0,,,0,0,,,,,,,,
189,17249,1,1,1,1,0,0,0,0,1,,,1,1,,,,,,,,
191,17258,1,0,0,0,0,0,1,0,,,0,0,0,,,,,,,,
192,17262,1,1,1,1,0,0,0,0,1,,,1,1,,,,,,,,
193,17270,1,1,0,0,0,0,1,1,,,1,1,1,,,,,,,,
194,1728,1,1,1,1,0,0,0,0,1,,,1,1,,,,,,,,
195,17284,1,1,1,1,0,0,0,0,1,,,1,1,,,,,,,,
196,17291,1,1,1,1,0,0,0,0,1,,,1,1,,,,,,,,
197,173,1,0,0,0,0,0,1,0,,,0,0,0,,,,,,,,
199,17349,1,1,0,0,0,0,1,1,,,1,1,1,,,,,,,,
201,17368,1,1,0,0,0,0,1,1,,,1,1,1,,,,,,,,
202,1737,1,0,1,0,0,0,0,0,0,,,0,0,,,,,,,,
203,17391,1,1,0,0,0,0,1,1,,,1,1,1,,,,,,,,
205,1740,1,0,1,0,0,0,0,0,0,,,0,0,,,,,,,,
206,1758,1,1,1,1,0,0,0,0,1,,,1,1,,,,,,,,
207,1761,1,0,1,0,0,0,0,0,0,,,0,0,,,,,,,,
209,1779,1,1,1,1,0,0,0,0,1,,,1,1,,,,,,,,
210,1782,1,1,0,0,0,0,1,1,,,1,1,1,,,,,,,,
211,1803,1,1,0,0,0,0,1,1,,,1,1,1,,,,,,,,
212,181,1,1,0,0,0,0,1,1,,,1,1,1,,,,,,,,
213,1815,1,1,0,0,0,0,1,1,,,1,1,1,,,,,,,,
215,1827,1,1,1,1,0,0,0,0,1,,,1,1,,,,,,,,
216,1833,1,0,1,0,0,0,0,0,0,,,0,0,,,,,,,,
217,1839,1,1,0,0,0,0,1,1,,,1,1,1,,,,,,,,
218,1845,1,0,0,0,0,0,1,0,,,0,0,0,,,,,,,,
219,1851,1,1,0,0,0,0,1,1,,,1,1,1,,,,,,,,
220,1854,1,1,0,0,0,0,1,1,,,1,1,1,,,,,,,,
222,1890,1,0,0,0,0,0,1,0,,,0,0,0,,,,,,,,
223,1902,1,1,0,0,0,0,1,1,,,1,1,1,,,,,,,,
224,1905,1,1,0,0,0,0,1,1,,,1,1,1,,,,,,,,
225,1917,1,1,0,0,0,0,1,1,,,1,1,1,,,,,,,,
226,1923,1,1,1,1,0,0,0,0,1,,,1,1,,,,,,,,
227,1935,1,1,0,0,0,0,1,1,,,1,1,1,,,,,,,,
230,1971,1,0,0,0,0,0,1,0,,,0,0,0,,,,,,,,
231,1980,1,1,0,0,0,0,1,1,,,1,1,1,,,,,,,,
232,1983,1,1,0,0,0,0,1,1,,,1,1,1,,,,,,,,
234,1992,1,1,1,1,0,0,0,0,1,,,1,1,,,,,,,,
235,200,1,1,1,1,0,0,0,0,1,,,1,1,,,,,,,,
237,2004,1,1,0,0,0,0,1,1,,,1,1,1,,,,,,,,
238,2043,1,1,1,1,0,0,0,0,1,,,1,1,,,,,,,,
239,2070,1,1,0,0,0,0,1,1,,,1,1,1,,,,,,,,
241,2103,1,1,0,0,0,0,1,1,,,1,1,1,,,,,,,,
242,2115,1,1,1,1,0,0,0,0,1,,,1,1,,,,,,,,
243,2127,1,0,0,0,0,0,1,0,,,0,0,0,,,,,,,,
244,2130,1,1,0,0,0,0,1,1,,,1,1,1,,,,,,,,
246,2148,1,0,1,0,0,0,0,0,0,,,0,0,,,,,,,,
248,2166,1,1,0,0,0,0,1,1,,,1,1,1,,,,,,,,
249,2181,1,1,0,0,0,0,1,1,,,1,1,1,,,,,,,,
251,2199,1,1,0,0,0,0,1,1,,,1,1,1,,,,,,,,
252,2226,1,1,0,0,0,0,1,1,,,1,1,1,,,,,,,,
253,2244,1,1,0,0,0,0,1,1,,,1,1,1,,,,,,,,
255,2292,1,1,0,0,0,0,1,1,,,1,1,1,,,,,,,,
256,2295,1,0,0,0,0,0,1,0,,,0,0,0,,,,,,,,
257,2298,1,1,0,0,0,0,1,1,,,1,1,1,,,,,,,,
258,2343,1,1,1,1,0,0,0,0,1,,,1,1,,,,,,,,
260,2352,1,1,0,0,0,0,1,1,,,1,1,1,,,,,,,,
261,2361,1,1,0,0,0,0,1,1,,,1,1,1,,,,,,,,
262,237,1,1,1,1,0,0,0,0,1,,,1,1,,,,,,,,
263,243,1,0,1,0,0,0,0,0,0,,,0,0,,,,,,,,
264,2448,1,1,0,0,0,0,1,1,,,1,1,1,,,,,,,,
266,2484,1,1,0,0,0,0,1,1,,,1,1,1,,,,,,,,
267,2517,1,1,0,0,0,0,1,1,,,1,1,1,,,,,,,,
268,2526,1,1,1,1,0,0,0,0,1,,,1,1,,,,,,,,
269,2565,1,1,1,1,0,0,0,0,1,,,1,1,,,,,,,,
270,259,1,0,1,0,0,0,0,0,0,,,0,0,,,,,,,,
271,2601,1,1,1,1,0,0,0,0,1,,,1,1,,,,,,,,
272,2616,1,1,0,0,0,0,1,1,,,1,1,1,,,,,,,,
273,2619,1,1,0,0,0,0,1,1,,,1,1,1,,,,,,,,
274,2622,1,1,1,1,0,0,0,0,1,,,1,1,,,,,,,,
275,2643,1,1,0,0,0,0,1,1,,,1,1,1,,,,,,,,
276,265,1,1,1,1,0,0,0,0,1,,,1,1,,,,,,,,
277,266,1,1,0,0,1,1,0,0,,1,,1,1,,,,,,,,
278,2667,1,1,0,0,0,0,1,1,,,1,1,1,,,,,,,,
279,2700,1,1,0,0,0,0,1,1,,,1,1,1,,,,,,,,
281,2739,1,0,0,0,0,0,1,0,,,0,0,0,,,,,,,,
282,2796,1,0,0,0,0,0,1,0,,,0,0,0,,,,,,,,
283,280,1,1,0,0,0,0,1,1,,,1,1,1,,,,,,,,
284,2817,1,1,0,0,0,0,1,1,,,1,1,1,,,,,,,,
285,2823,1,1,1,1,0,0,0,0,1,,,1,1,,,,,,,,
286,2832,1,1,1,1,0,0,0,0,1,,,1,1,,,,,,,,
287,2859,1,0,0,0,0,0,1,0,,,0,0,0,,,,,,,,
288,2862,1,1,0,0,0,0,1,1,,,1,1,1,,,,,,,,
289,2871,1,0,0,0,0,0,1,0,,,0,0,0,,,,,,,,
290,289,1,0,1,0,0,0,0,0,0,,,0,0,,,,,,,,
291,29,1,0,0,0,0,0,1,0,,,0,0,0,,,,,,,,
292,291,1,1,0,0,0,0,1,1,,,1,1,1,,,,,,,,
295,3,1,0,0,0,0,0,1,0,,,0,0,0,,,,,,,,
296,3006,1,1,0,0,0,0,1,1,,,1,1,1,,,,,,,,
300,3096,1,0,1,0,0,0,0,0,0,,,0,0,,,,,,,,
301,311,1,1,0,0,0,0,1,1,,,1,1,1,,,,,,,,
302,3114,1,1,0,0,0,0,1,1,,,1,1,1,,,,,,,,
303,312,1,1,0,0,0,0,1,1,,,1,1,1,,,,,,,,
304,3120,1,0,0,0,0,0,1,0,,,0,0,0,,,,,,,,
305,3126,1,0,0,0,0,0,1,0,,,0,0,0,,,,,,,,
307,316,1,1,1,1,0,0,0,0,1,,,1,1,,,,,,,,
308,3171,1,1,0,0,0,0,1,1,,,1,1,1,,,,,,,,
309,3192,1,1,0,0,0,0,1,1,,,1,1,1,,,,,,,,
311,3228,1,1,0,0,0,0,1,1,,,1,1,1,,,,,,,,
312,325,1,1,1,1,0,0,0,0,1,,,1,1,,,,,,,,
317,3291,1,1,0,0,0,0,1,1,,,1,1,1,,,,,,,,
318,3306,1,1,0,0,0,0,1,1,,,1,1,1,,,,,,,,
319,3351,1,1,0,0,0,0,1,1,,,1,1,1,,,,,,,,
323,3432,1,1,0,0,0,0,1,1,,,1,1,1,,,,,,,,
324,3459,1,1,0,0,0,0,1,1,,,1,1,1,,,,,,,,
325,3474,1,1,0,0,0,0,1,1,,,1,1,1,,,,,,,,
326,351,1,1,1,1,0,0,0,0,1,,,1,1,,,,,,,,
327,3555,1,1,0,0,0,0,1,1,,,1,1,1,,,,,,,,
328,356,1,1,1,1,0,0,0,0,1,,,1,1,,,,,,,,
330,3620,1,1,0,0,0,0,1,1,,,1,1,1,,,,,,,,
331,3638,1,0,0,0,1,0,0,0,,0,,0,0,,,,,,,,
332,3665,1,1,1,1,0,0,0,0,1,,,1,1,,,,,,,,
337,3695,1,1,0,0,0,0,1,1,,,1,1,1,,,,,,,,
339,3698,1,1,0,0,0,0,1,1,,,1,1,1,,,,,,,,
341,3728,1,1,1,1,0,0,0,0,1,,,1,1,,,,,,,,
342,377,1,1,0,0,1,1,0,0,,1,,1,1,,,,,,,,
343,3774,1,1,1,1,0,0,0,0,1,,,1,1,,,,,,,,
344,3788,1,1,1,1,0,0,0,0,1,,,1,1,,,,,,,,
346,3791,1,0,1,0,0,0,0,0,0,,,0,0,,,,,,,,
347,380,1,1,1,1,0,0,0,0,1,,,1,1,,,,,,,,
349,3826,1,1,0,0,0,0,1,1,,,1,1,1,,,,,,,,
350,3843,1,1,1,1,0,0,0,0,1,,,1,1,,,,,,,,
351,3848,1,1,1,1,0,0,0,0,1,,,1,1,,,,,,,,
352,391,1,1,1,1,0,0,0,0,1,,,1,1,,,,,,,,
355,3916,1,0,0,0,0,0,1,0,,,0,0,0,,,,,,,,
356,3928,1,1,1,1,0,0,0,0,1,,,1,1,,,,,,,,
358,3939,1,1,1,1,0,0,0,0,1,,,1,1,,,,,,,,
359,3941,1,1,0,0,0,0,1,1,,,1,1,1,,,,,,,,
360,3944,1,1,0,0,0,0,1,1,,,1,1,1,,,,,,,,
361,3945,1,1,1,1,0,0,0,0,1,,,1,1,,,,,,,,
362,3956,1,0,1,0,0,0,0,0,0,,,0,0,,,,,,,,
364,397,1,1,0,0,0,0,1,1,,,1,1,1,,,,,,,,
365,3995,1,1,1,1,0,0,0,0,1,,,1,1,,,,,,,,
366,40,1,1,0,0,0,0,1,1,,,1,1,1,,,,,,,,
367,4001,1,0,1,0,0,0,0,0,0,,,0,0,,,,,,,,
369,4022,1,0,1,0,0,0,0,0,0,,,0,0,,,,,,,,
371,4034,1,1,1,1,0,0,0,0,1,,,1,1,,,,,,,,
372,4041,1,1,1,1,0,0,0,0,1,,,1,1,,,,,,,,
373,4045,1,1,1,1,0,0,0,0,1,,,1,1,,,,,,,,
374,4055,1,0,1,0,0,0,0,0,0,,,0,0,,,,,,,,
376,406,1,0,0,0,0,0,1,0,,,0,0,0,,,,,,,,
378,4121,1,0,1,0,0,0,0,0,0,,,0,0,,,,,,,,
380,4127,1,0,1,0,0,0,0,0,0,,,0,0,,,,,,,,
381,413,1,1,0,0,0,0,1,1,,,1,1,1,,,,,,,,
383,4151,1,0,1,0,0,0,0,0,0,,,0,0,,,,,,,,
384,4159,1,1,0,0,0,0,1,1,,,1,1,1,,,,,,,,
387,4166,1,1,1,1,0,0,0,0,1,,,1,1,,,,,,,,
388,4181,1,1,1,1,0,0,0,0,1,,,1,1,,,,,,,,
389,4202,1,1,1,1,0,0,0,0,1,,,1,1,,,,,,,,
395,4308,1,1,0,0,0,0,1,1,,,1,1,1,,,,,,,,
396,4318,1,0,1,0,0,0,0,0,0,,,0,0,,,,,,,,
397,4324,1,1,1,1,0,0,0,0,1,,,1,1,,,,,,,,
398,436,1,1,1,1,0,0,0,0,1,,,1,1,,,,,,,,
399,4366,1,1,1,1,0,0,0,0,1,,,1,1,,,,,,,,
400,4402,1,1,1,1,0,0,0,0,1,,,1,1,,,,,,,,
401,4420,1,0,0,0,1,0,0,0,,0,,0,0,,,,,,,,
402,4450,1,1,1,1,0,0,0,0,1,,,1,1,,,,,,,,
403,4464,1,1,0,0,0,0,1,1,,,1,1,1,,,,,,,,
404,4474,1,1,1,1,0,0,0,0,1,,,1,1,,,,,,,,
406,4478,1,1,1,1,0,0,0,0,1,,,1,1,,,,,,,,
408,4480,1,1,1,1,0,0,0,0,1,,,1,1,,,,,,,,
409,4481,1,1,0,0,0,0,1,1,,,1,1,1,,,,,,,,
410,4486,1,0,1,0,0,0,0,0,0,,,0,0,,,,,,,,
414,4502,1,0,1,0,0,0,0,0,0,,,0,0,,,,,,,,
415,4514,1,1,0,0,0,0,1,1,,,1,1,1,,,,,,,,
417,4526,1,1,1,1,0,0,0,0,1,,,1,1,,,,,,,,
419,4528,1,1,1,1,0,0,0,0,1,,,1,1,,,,,,,,
420,4539,1,1,1,1,0,0,0,0,1,,,1,1,,,,,,,,
421,4543,1,1,0,0,0,0,1,1,,,1,1,1,,,,,,,,
422,4559,1,1,1,1,0,0,0,0,1,,,1,1,,,,,,,,
423,4563,1,0,1,0,0,0,0,0,0,,,0,0,,,,,,,,
424,4565,1,1,1,1,0,0,0,0,1,,,1,1,,,,,,,,
426,4596,1,0,0,0,0,0,1,0,,,0,0,0,,,,,,,,
428,4607,1,0,0,0,1,0,0,0,,0,,0,0,,,,,,,,
429,4631,1,1,1,1,0,0,0,0,1,,,1,1,,,,,,,,
430,467,1,1,1,1,0,0,0,0,1,,,1,1,,,,,,,,
431,4676,1,0,0,0,0,0,1,0,,,0,0,0,,,,,,,,
432,4685,1,1,1,1,0,0,0,0,1,,,1,1,,,,,,,,
433,469,1,1,1,1,0,0,0,0,1,,,1,1,,,,,,,,
434,4706,1,1,1,1,0,0,0,0,1,,,1,1,,,,,,,,
435,4760,1,0,1,0,0,0,0,0,0,,,0,0,,,,,,,,
436,477,1,1,1,1,0,0,0,0,1,,,1,1,,,,,,,,
437,4774,1,1,0,0,0,0,1,1,,,1,1,1,,,,,,,,
439,4793,1,0,1,0,0,0,0,0,0,,,0,0,,,,,,,,
440,4829,1,0,1,0,0,0,0,0,0,,,0,0,,,,,,,,
441,483,1,1,0,0,0,0,1,1,,,1,1,1,,,,,,,,
444,4845,1,1,0,0,0,0,1,1,,,1,1,1,,,,,,,,
445,485,1,0,1,0,0,0,0,0,0,,,0,0,,,,,,,,
446,4878,1,0,1,0,0,0,0,0,0,,,0,0,,,,,,,,
449,489,1,0,1,0,0,0,0,0,0,,,0,0,,,,,,,,
450,4891,1,1,1,1,0,0,0,0,1,,,1,1,,,,,,,,
451,4925,1,1,1,1,0,0,0,0,1,,,1,1,,,,,,,,
453,5012,1,0,1,0,0,0,0,0,0,,,0,0,,,,,,,,
455,5039,1,1,1,1,0,0,0,0,1,,,1,1,,,,,,,,
456,5040,1,0,0,0,0,0,1,0,,,0,0,0,,,,,,,,
457,5049,1,0,1,0,0,0,0,0,0,,,0,0,,,,,,,,
458,5050,1,1,1,1,0,0,0,0,1,,,1,1,,,,,,,,
463,5075,1,0,1,0,0,0,0,0,0,,,0,0,,,,,,,,
464,5076,1,0,1,0,0,0,0,0,0,,,0,0,,,,,,,,
467,5102,1,1,0,0,0,0,1,1,,,1,1,1,,,,,,,,
470,5190,1,1,0,0,0,0,1,1,,,1,1,1,,,,,,,,
471,5221,1,0,1,0,0,0,0,0,0,,,0,0,,,,,,,,
472,523,1,1,1,1,0,0,0,0,1,,,1,1,,,,,,,,
473,5230,1,1,0,0,0,0,1,1,,,1,1,1,,,,,,,,
474,5231,1,1,1,1,0,0,0,0,1,,,1,1,,,,,,,,
475,524,1,1,1,1,0,0,0,0,1,,,1,1,,,,,,,,
476,5243,1,1,1,1,0,0,0,0,1,,,1,1,,,,,,,,
478,5259,1,1,0,0,0,0,1,1,,,1,1,1,,,,,,,,
480,5264,1,1,0,0,0,0,1,1,,,1,1,1,,,,,,,,
481,5275,1,1,0,0,0,0,1,1,,,1,1,1,,,,,,,,
482,5279,1,1,1,1,0,0,0,0,1,,,1,1,,,,,,,,
483,5281,1,1,1,1,0,0,0,0,1,,,1,1,,,,,,,,
484,5283,1,1,1,1,0,0,0,0,1,,,1,1,,,,,,,,
486,5294,1,1,1,1,0,0,0,0,1,,,1,1,,,,,,,,
488,5309,1,0,1,0,0,0,0,0,0,,,0,0,,,,,,,,
489,5311,1,1,1,1,0,0,0,0,1,,,1,1,,,,,,,,
490,5315,1,1,1,1,0,0,0,0,1,,,1,1,,,,,,,,
491,5316,1,0,1,0,0,0,0,0,0,,,0,0,,,,,,,,
493,5326,1,1,0,0,0,0,1,1,,,1,1,1,,,,,,,,
494,5328,1,0,1,0,0,0,0,0,0,,,0,0,,,,,,,,
495,5330,1,1,1,1,0,0,0,0,1,,,1,1,,,,,,,,
499,5361,1,1,1,1,0,0,0,0,1,,,1,1,,,,,,,,
500,5379,1,1,1,1,0,0,0,0,1,,,1,1,,,,,,,,
501,5388,1,1,1,1,0,0,0,0,1,,,1,1,,,,,,,,
502,539,1,0,0,0,0,0,1,0,,,0,0,0,,,,,,,,
503,5390,1,1,1,1,0,0,0,0,1,,,1,1,,,,,,,,
504,5392,1,1,1,1,0,0,0,0,1,,,1,1,,,,,,,,
506,5417,1,1,0,0,0,0,1,1,,,1,1,1,,,,,,,,
507,5428,1,1,1,1,0,0,0,0,1,,,1,1,,,,,,,,
508,5432,1,1,1,1,0,0,0,0,1,,,1,1,,,,,,,,
509,5452,1,1,1,1,0,0,0,0,1,,,1,1,,,,,,,,
510,5458,1,0,1,0,0,0,0,0,0,,,0,0,,,,,,,,
511,5477,1,1,1,1,0,0,0,0,1,,,1,1,,,,,,,,
512,5493,1,0,1,0,0,0,0,0,0,,,0,0,,,,,,,,
513,5496,1,0,1,0,0,0,0,0,0,,,0,0,,,,,,,,
514,5499,1,1,1,1,0,0,0,0,1,,,1,1,,,,,,,,
517,5507,1,0,1,0,0,0,0,0,0,,,0,0,,,,,,,,
518,552,1,1,1,1,0,0,0,0,1,,,1,1,,,,,,,,
519,555,1,0,1,0,0,0,0,0,0,,,0,0,,,,,,,,
520,5553,1,1,1,1,0,0,0,0,1,,,1,1,,,,,,,,
521,5564,1,0,1,0,0,0,0,0,0,,,0,0,,,,,,,,
522,560,1,1,1,1,0,0,0,0,1,,,1,1,,,,,,,,
523,561,1,1,1,1,0,0,0,0,1,,,1,1,,,,,,,,
524,5611,1,0,1,0,0,0,0,0,0,,,0,0,,,,,,,,
526,563,1,1,1,1,0,0,0,0,1,,,1,1,,,,,,,,
528,564,1,1,0,0,0,0,1,1,,,1,1,1,,,,,,,,
529,5642,1,1,0,0,0,0,1,1,,,1,1,1,,,,,,,,
531,5651,1,0,0,0,0,0,1,0,,,0,0,0,,,,,,,,
532,5652,1,1,1,1,0,0,0,0,1,,,1,1,,,,,,,,
533,5655,1,0,1,0,0,0,0,0,0,,,0,0,,,,,,,,
534,5659,1,0,1,0,0,0,0,0,0,,,0,0,,,,,,,,
537,5683,1,0,1,0,0,0,0,0,0,,,0,0,,,,,,,,
539,5686,1,0,1,0,0,0,0,0,0,,,0,0,,,,,,,,
541,57,1,1,0,0,0,0,1,1,,,1,1,1,,,,,,,,
542,572,1,1,1,1,0,0,0,0,1,,,1,1,,,,,,,,
543,5724,1,1,1,1,0,0,0,0,1,,,1,1,,,,,,,,
544,573,1,1,1,1,0,0,0,0,1,,,1,1,,,,,,,,
545,5731,1,0,1,0,0,0,0,0,0,,,0,0,,,,,,,,
546,5737,1,1,0,0,0,0,1,1,,,1,1,1,,,,,,,,
547,5741,1,1,1,1,0,0,0,0,1,,,1,1,,,,,,,,
548,5746,1,1,0,0,0,0,1,1,,,1,1,1,,,,,,,,
550,5763,1,0,1,0,0,0,0,0,0,,,0,0,,,,,,,,
551,577,1,1,1,1,0,0,0,0,1,,,1,1,,,,,,,,
552,5773,1,1,1,1,0,0,0,0,1,,,1,1,,,,,,,,
553,5774,1,1,1,1,0,0,0,0,1,,,1,1,,,,,,,,
555,5777,1,1,0,0,0,0,1,1,,,1,1,1,,,,,,,,
556,5781,1,1,0,0,0,0,1,1,,,1,1,1,,,,,,,,
558,5786,1,1,1,1,0,0,0,0,1,,,1,1,,,,,,,,
559,5838,1,0,1,0,0,0,0,0,0,,,0,0,,,,,,,,
560,5858,1,1,0,0,0,0,1,1,,,1,1,1,,,,,,,,
563,5899,1,1,1,1,0,0,0,0,1,,,1,1,,,,,,,,
564,59,1,0,1,0,0,0,0,0,0,,,0,0,,,,,,,,
565,591,1,0,1,0,0,0,0,0,0,,,0,0,,,,,,,,
567,5925,1,0,0,0,0,0,1,0,,,0,0,0,,,,,,,,
568,5957,1,1,1,1,0,0,0,0,1,,,1,1,,,,,,,,
569,5978,1,1,1,1,0,0,0,0,1,,,1,1,,,,,,,,
570,600,1,0,1,0,0,0,0,0,0,,,0,0,,,,,,,,
572,6037,1,0,0,0,1,0,0,0,,0,,0,0,,,,,,,,
573,6038,1,1,0,0,0,0,1,1,,,1,1,1,,,,,,,,
574,6047,1,1,1,1,0,0,0,0,1,,,1,1,,,,,,,,
576,6052,1,0,0,0,0,0,1,0,,,0,0,0,,,,,,,,
577,6055,1,1,1,1,0,0,0,0,1,,,1,1,,,,,,,,
578,6056,1,1,0,0,0,0,1,1,,,1,1,1,,,,,,,,
580,6069,1,1,1,1,0,0,0,0,1,,,1,1,,,,,,,,
581,6071,1,0,1,0,0,0,0,0,0,,,0,0,,,,,,,,
583,6075,1,1,1,1,0,0,0,0,1,,,1,1,,,,,,,,
584,6087,1,1,1,1,0,0,0,0,1,,,1,1,,,,,,,,
585,6102,1,0,0,0,0,0,1,0,,,0,0,0,,,,,,,,
586,6112,1,1,0,0,1,1,0,0,,1,,1,1,,,,,,,,
587,6113,1,1,1,1,0,0,0,0,1,,,1,1,,,,,,,,
588,6114,1,1,1,1,0,0,0,0,1,,,1,1,,,,,,,,
592,6179,1,1,1,1,0,0,0,0,1,,,1,1,,,,,,,,
593,6183,1,1,1,1,0,0,0,0,1,,,1,1,,,,,,,,
594,6185,1,0,0,0,0,0,1,0,,,0,0,0,,,,,,,,
595,6186,1,1,1,1,0,0,0,0,1,,,1,1,,,,,,,,
597,6189,1,1,0,0,0,0,1,1,,,1,1,1,,,,,,,,
598,6194,1,0,1,0,0,0,0,0,0,,,0,0,,,,,,,,
601,6221,1,1,0,0,0,0,1,1,,,1,1,1,,,,,,,,
604,6254,1,0,0,0,0,0,1,0,,,0,0,0,,,,,,,,
608,63,1,1,1,1,0,0,0,0,1,,,1,1,,,,,,,,
610,6328,1,0,0,0,0,0,1,0,,,0,0,0,,,,,,,,
613,6338,1,0,0,0,0,0,1,0,,,0,0,0,,,,,,,,
615,6355,1,1,1,1,0,0,0,0,1,,,1,1,,,,,,,,
618,6401,1,1,1,1,0,0,0,0,1,,,1,1,,,,,,,,
619,6431,1,1,1,1,0,0,0,0,1,,,1,1,,,,,,,,
620,6439,1,1,0,0,0,0,1,1,,,1,1,1,,,,,,,,
622,6454,1,1,1,1,0,0,0,0,1,,,1,1,,,,,,,,
624,6486,1,1,1,1,0,0,0,0,1,,,1,1,,,,,,,,
625,6488,1,1,1,1,0,0,0,0,1,,,1,1,,,,,,,,
626,6497,1,1,1,1,0,0,0,0,1,,,1,1,,,,,,,,
629,6502,1,1,0,0,0,0,1,1,,,1,1,1,,,,,,,,
631,652,1,0,0,0,0,0,1,0,,,0,0,0,,,,,,,,
632,6522,1,1,1,1,0,0,0,0,1,,,1,1,,,,,,,,
635,6528,1,0,1,0,0,0,0,0,0,,,0,0,,,,,,,,
639,6547,1,1,1,1,0,0,0,0,1,,,1,1,,,,,,,,
